price;cap_rate;borough_cap_rate;deep_date;yearqtr;crfn;BIN;boro;block tax;lot tax;boroblocklot;hnum_lo;hnum_hi;str_name;Census Tract;Council District;NTA;Postcode;Community Board;borough;Latitude;Longitude
19700000;0.024;0.035;04/17/2019;2019Q2;2.02E+12;1062922;1;2122;48;1021220048;3880;3880;BROADWAY;245;7;Washington Heights South;10032;112;MN;40.837269;-73.942521
26839208;0.026;0.033;10/30/2018;2018Q4;2.02E+12;1063357;1;2137;40;1021370040;80;80;FT WASHINGTON AVENUE;245;7;Washington Heights South;10032;112;MN;40.837989;-73.943923
20140792;0.025;0.033;10/30/2018;2018Q4;2.02E+12;1063365;1;2137;91;1021370091;86;86;FT WASHINGTON AVENUE;245;7;Washington Heights South;10032;112;MN;40.838148;-73.943857
3372000;0.032;0.033;11/02/2018;2018Q4;2.02E+12;1062864;1;2120;23;1021200023;524;526;WEST 162 STREET;245;7;Washington Heights South;10032;112;MN;40.836411;-73.940773
7910000;0.027;0.035;06/25/2019;2019Q2;2.02E+12;1063367;1;2137;112;1021370112;611;611;WEST 163 STREET;245;7;Washington Heights South;10032;112;MN;40.838043;-73.94269
9250000;0.036;0.055;07/20/2021;2021Q3;2.02E+12;1062936;1;2122;110;1021220110;548;548;WEST 164 STREET;245;7;Washington Heights South;10032;112;MN;40.837948;-73.940576
10200000;0.022;0.033;12/10/2018;2018Q4;2.02E+12;1063319;1;2136;60;1021360060;638;644;WEST 160 STREET;247;7;Washington Heights South;10032;112;MN;40.836617;-73.945174
11300000;0.023;0.033;12/10/2018;2018Q4;2.02E+12;1063324;1;2136;98;1021360098;655;655;WEST 160 STREET;247;7;Washington Heights South;10032;112;MN;40.836804;-73.945586
3197000;0.048;0.055;12/28/2021;2021Q4;2.02E+12;1063007;1;2125;42;1021250042;2192;2194;AMSTERDAM AVENUE;251;10;Washington Heights South;10032;112;MN;40.840331;-73.936588
4900000;0.029;0.033;07/11/2018;2018Q3;2.02E+12;1063032;1;2126;48;1021260048;503;503;WEST 169 STREET;253;10;Washington Heights South;10032;112;MN;40.840609;-73.936746
3095000;0.037;0.059;03/18/2021;2021Q1;2.02E+12;1063399;1;2138;187;1021380187;647;649;WEST 169 STREET;253;10;Washington Heights South;10032;112;MN;40.842227;-73.940612
3950000;0.047;0.05;04/21/2022;2022Q2;2.02E+12;1063028;1;2126;40;1021260040;502;502;WEST 170 STREET;253;10;Washington Heights South;10032;112;MN;40.841179;-73.936327
6000000;0.049;0.059;01/21/2021;2021Q1;2.02E+12;1063484;1;2142;63;1021420063;633;633;WEST 171 STREET;253;10;Washington Heights South;10032;112;MN;40.843468;-73.939733
5000000;0.046;0.059;01/21/2021;2021Q1;2.02E+12;1063488;1;2142;78;1021420078;636;636;WEST 172 STREET;253;10;Washington Heights South;10032;112;MN;40.844165;-73.939573
4400000;0.056;0.059;01/21/2021;2021Q1;2.02E+12;1063489;1;2142;81;1021420081;642;642;WEST 172 STREET;253;10;Washington Heights South;10032;112;MN;40.844203;-73.939667
5200000;0.055;0.059;01/21/2021;2021Q1;2.02E+12;1063494;1;2142;97;1021420097;643;643;WEST 172 STREET;253;10;Washington Heights South;10032;112;MN;40.844217;-73.939656
8896000;0.047;0.055;12/28/2021;2021Q4;2.02E+12;1063435;1;2139;310;1021390310;295;295;FT WASHINGTON AVENUE;255;10;Washington Heights South;10032;112;MN;40.845164;-73.940613
26750000;0.04;0.05;04/20/2022;2022Q2;2.02E+12;1062545;1;2109;34;1021090034;555;559;EDGECOMBE AVENUE;24301;10;Washington Heights South;10032;112;MN;40.833633;-73.938755
10100000;0.041;0.05;05/31/2022;2022Q2;2.02E+12;1062597;1;2110;24;1021100024;596;596;EDGECOMBE AVENUE;24301;10;Washington Heights South;10032;112;MN;40.835435;-73.937514
4795000;0.029;0.034;04/17/2018;2018Q2;2.02E+12;1062622;1;2110;70;1021100070;452;452;WEST 164 STREET;24301;10;Washington Heights South;10032;112;MN;40.836877;-73.938022
9510000;0.03;0.033;11/02/2018;2018Q4;2.02E+12;1062634;1;2111;10;1021110010;476;482;WEST 165 STREET;24301;10;Washington Heights South;10032;112;MN;40.837683;-73.937841
8595386;0.032;0.05;03/04/2022;2022Q1;2.02E+12;1000000;1;2149;3;1021490003;2455;2459;AMSTERDAM AVENUE;267;10;Washington Heights North;10033;112;MN;40.848562;-73.930551
20540248;0.037;0.05;03/04/2022;2022Q1;2.02E+12;1063583;1;2149;84;1021490084;90;90;LAUREL HILL TERRACE;267;10;Washington Heights North;10033;112;MN;40.850331;-73.92782
18218925;0.025;0.05;03/04/2022;2022Q1;2.02E+12;1063587;1;2149;104;1021490104;475;475;WEST 186 STREET;267;10;Washington Heights North;10033;112;MN;40.851034;-73.928275
15278612;0.037;0.05;03/04/2022;2022Q1;2.02E+12;1063586;1;2149;101;1021490101;480;480;WEST 187 STREET;267;10;Washington Heights North;10033;112;MN;40.851736;-73.927858
8462364;0.037;0.05;03/04/2022;2022Q1;2.02E+12;1063721;1;2156;22;1021560022;2502;2504;AMSTERDAM AVENUE;269;10;Washington Heights North;10033;112;MN;40.850011;-73.929577
5855296;0.034;0.05;03/04/2022;2022Q1;2.02E+12;1063727;1;2156;33;1021560033;399;399;AUDUBON AVENUE;269;10;Washington Heights North;10033;112;MN;40.851208;-73.930519
5408075;0.037;0.05;03/04/2022;2022Q1;2.02E+12;1063728;1;2156;35;1021560035;403;403;AUDUBON AVENUE;269;10;Washington Heights North;10033;112;MN;40.851315;-73.93044
4568045;0.035;0.05;03/04/2022;2022Q1;2.02E+12;1063729;1;2156;37;1021560037;407;407;AUDUBON AVENUE;269;10;Washington Heights North;10033;112;MN;40.851419;-73.930364
3400000;0.051;0.055;12/14/2021;2021Q4;2.02E+12;1063723;1;2156;25;1021560025;511;511;WEST 184 STREET;269;10;Washington Heights North;10033;112;MN;40.850121;-73.930097
2796352;0.043;0.05;03/04/2022;2022Q1;2.02E+12;1063765;1;2157;13;1021570013;556;558;WEST 185 STREET;269;10;Washington Heights North;10033;112;MN;40.851304;-73.931087
